year,round,series,tmIDWinner,lgIDWinner,tmIDLoser,lgIDLoser,W,L,T,GoalsWinner,GoalsLoser,note
2008,SCF,O,PIT,NHL,DET,NHL,4,3,0,14,17,
2009,CQF,A,MTL,NHL,WAS,NHL,4,3,0,20,22,
2009,CQF,B,PHI,NHL,NJD,NHL,4,1,0,15,9,
2009,CQF,C,BOS,NHL,BUF,NHL,4,2,0,16,15,
2009,CQF,D,PIT,NHL,OTT,NHL,4,2,0,24,19,
2009,CQF,E,SJS,NHL,COL,NHL,4,2,0,19,11,
2009,CQF,F,CHI,NHL,NAS,NHL,4,2,0,17,15,
2009,CQF,G,VAN,NHL,LAK,NHL,4,2,0,25,18,
2009,CQF,H,DET,NHL,PHO,NHL,4,3,0,26,18,
2009,CSF,I,MTL,NHL,PIT,NHL,4,3,0,19,18,
2009,CSF,J,PHI,NHL,BOS,NHL,4,3,0,22,20,
2009,CSF,K,SJS,NHL,DET,NHL,4,1,0,15,17,
2009,CSF,L,CHI,NHL,VAN,NHL,4,2,0,23,18,
2009,CF,M,PHI,NHL,MTL,NHL,4,1,0,17,7,
2009,CF,N,CHI,NHL,SJS,NHL,4,0,0,13,7,
2009,SCF,O,CHI,NHL,PHI,NHL,4,2,0,25,22,
2010,CQF,A,WAS,NHL,NYR,NHL,4,1,0,13,8,
2010,CQF,B,PHI,NHL,BUF,NHL,4,3,0,22,18,
2010,CQF,C,BOS,NHL,MTL,NHL,4,3,0,17,17,
2010,CQF,D,TBL,NHL,PIT,NHL,4,3,0,22,14,
2010,CQF,E,VAN,NHL,CHI,NHL,4,3,0,16,22,
2010,CQF,F,SJS,NHL,LAK,NHL,4,2,0,20,20,
2010,CQF,G,DET,NHL,PHO,NHL,4,0,0,18,10,
2010,CQF,H,NAS,NHL,AND,NHL,4,2,0,22,20,
2010,CSF,I,TBL,NHL,WAS,NHL,4,0,0,16,10,
2010,CSF,J,BOS,NHL,PHI,NHL,4,0,0,20,7,
2010,CSF,K,VAN,NHL,NAS,NHL,4,2,0,14,11,
2010,CSF,L,SJS,NHL,DET,NHL,4,3,0,18,18,
2010,CF,M,BOS,NHL,TBL,NHL,4,3,0,21,21,
2010,CF,N,VAN,NHL,SJS,NHL,4,1,0,20,13,
2010,SCF,O,BOS,NHL,VAN,NHL,4,3,0,23,8,
2011,CQF,A,NYR,NHL,OTT,NHL,4,3,0,14,13,
2011,CQF,B,WAS,NHL,BOS,NHL,4,3,0,16,15,
2011,CQF,C,NJD,NHL,FLO,NHL,4,3,0,18,17,
2011,CQF,D,PHI,NHL,PIT,NHL,4,2,0,30,26,
2011,CQF,E,LAK,NHL,VAN,NHL,4,1,0,12,8,
2011,CQF,F,STL,NHL,SJS,NHL,4,1,0,14,8,
2011,CQF,G,PHO,NHL,CHI,NHL,4,2,0,17,12,
2011,CQF,H,NAS,NHL,DET,NHL,4,1,0,13,9,
2011,CSF,I,NYR,NHL,WAS,NHL,4,3,0,15,13,
2011,CSF,J,NJD,NHL,PHI,NHL,4,1,0,18,11,
2011,CSF,K,LAK,NHL,STL,NHL,4,0,0,15,6,
2011,CSF,L,PHO,NHL,NAS,NHL,4,1,0,12,9,
2011,CF,M,NJD,NHL,NYR,NHL,4,2,0,15,14,
2011,CF,N,LAK,NHL,PHO,NHL,4,1,0,14,8,
2011,SCF,O,LAK,NHL,NJD,NHL,4,2,0,16,8,
