Customer No.,Exposure at Default (in lakh Rs.),Recovery (%),Probability of Default,,
4793,21.62,6.14%,0.0050,,
4794,0.76,29.03%,0.0068,,
4795,20.17,14.96%,0.0030,,
4796,21.06,13.27%,0.0085,,
4797,3.84,30.66%,0.0024,,
4798,1.50,19.28%,0.0045,,
4799,15.06,31.29%,0.0017,,
4800,8.01,15.65%,0.0075,,
4801,1.44,22.53%,0.0021,,
4802,3.67,28.17%,0.0067,,
4803,12.76,25.95%,0.0094,,
4804,7.89,9.27%,0.0041,,
4805,21.68,24.02%,0.0053,,
4806,18.79,28.00%,0.0038,,
4807,13.67,26.15%,0.0066,,
4808,3.57,17.08%,0.0081,,
4809,21.30,35.05%,0.0030,,
4810,24.08,35.42%,0.0072,,
4811,21.02,27.77%,0.0076,,
4812,19.21,29.09%,0.0069,,
4813,3.72,29.87%,0.0051,,
4814,8.20,38.76%,0.0065,,
4815,9.21,23.77%,0.0075,,
4816,24.17,2.44%,0.0060,,
4817,21.79,31.28%,0.0090,,
4818,17.46,3.58%,0.0093,,
4819,16.73,34.49%,0.0016,,
4820,10.52,27.58%,0.0093,,
4821,5.79,14.23%,0.0083,,
4822,1.23,18.48%,0.0053,,
4823,12.19,14.86%,0.0056,,
4824,12.68,30.16%,0.0035,,
4825,11.65,17.81%,0.0082,,
4826,18.39,20.03%,0.0015,,
4827,22.41,18.68%,0.0022,,
4828,5.64,28.07%,0.0087,,
4829,9.11,26.21%,0.0015,,
4830,3.82,39.03%,0.0036,,
4831,23.51,23.17%,0.0048,,
4832,8.34,24.06%,0.0042,,
4833,5.72,38.32%,0.0042,,
4834,22.05,8.73%,0.0073,,
4835,2.15,9.24%,0.0093,,
4836,21.99,34.74%,0.0054,,
4837,8.77,3.42%,0.0025,,
4838,11.40,13.95%,0.0038,,
4839,1.28,33.10%,0.0004,,
4840,4.41,7.26%,0.0038,,
4841,11.91,17.66%,0.0076,,
4842,17.00,15.04%,0.0090,,
4843,15.09,4.00%,0.0001,,
4844,0.34,30.46%,0.0064,,
4845,10.95,33.98%,0.0094,,
4846,23.65,7.64%,0.0097,,
4847,13.31,9.47%,0.0091,,
4848,24.02,34.00%,0.0026,,
4849,14.52,18.76%,0.0004,,
4850,13.55,2.29%,0.0010,,
4851,22.68,22.39%,0.0033,,
4852,18.97,19.28%,0.0050,,
4853,21.38,39.05%,0.0085,,
4854,16.82,16.27%,0.0046,,
4855,24.60,34.89%,0.0031,,
4856,1.38,33.65%,0.0086,,
4857,1.77,10.62%,0.0096,,
4858,16.50,12.03%,0.0047,,
4859,11.75,2.57%,0.0004,,
4860,21.24,2.07%,0.0074,,
4861,6.56,39.89%,0.0017,,
4862,4.89,13.73%,0.0001,,
4863,16.34,26.55%,0.0043,,
4864,3.46,24.59%,0.0065,,
4865,11.14,30.39%,0.0088,,
4866,11.18,20.30%,0.0080,,
4867,5.79,12.29%,0.0020,,
4868,20.05,28.26%,0.0085,,
4869,20.99,22.04%,0.0088,,
4870,9.39,15.06%,0.0010,,
4871,23.04,34.10%,0.0013,,
4872,22.54,35.26%,0.0091,,
4873,11.89,17.23%,0.0008,,
4874,12.43,32.10%,0.0091,,
4875,2.67,37.77%,0.0087,,
4876,8.56,30.17%,0.0045,,
4877,3.00,14.00%,0.0073,,
4878,23.26,22.20%,0.0091,,
4879,11.77,24.47%,0.0015,,
4880,12.20,39.10%,0.0067,,
4881,7.54,32.53%,0.0051,,
4882,11.00,20.38%,0.0084,,
4883,17.07,31.41%,0.0100,,
4884,11.26,30.80%,0.0071,,
4885,15.97,29.53%,0.0067,,
4886,11.11,5.30%,0.0020,,
4887,3.65,8.29%,0.0044,,
4888,4.00,10.16%,0.0002,,
4889,14.38,16.73%,0.0061,,
4890,9.34,8.85%,0.0047,,
4891,23.92,31.73%,0.0073,,
4892,1.03,10.54%,0.0098,,
4893,18.93,11.16%,0.0011,,
4894,3.43,24.83%,0.0089,,
4895,12.49,2.62%,0.0001,,
4896,1.25,2.85%,0.0063,,
4897,5.00,26.30%,0.0087,,
4898,13.50,5.87%,0.0026,,
4899,14.28,35.92%,0.0080,,
4900,7.89,24.96%,0.0040,,
4901,5.81,19.36%,0.0077,,
4902,4.81,21.43%,0.0075,,
4903,2.60,33.18%,0.0090,,
4904,11.30,26.73%,0.0090,,
4905,17.12,20.56%,0.0008,,
4906,0.06,18.62%,0.0022,,
4907,0.21,27.22%,0.0065,,
4908,0.95,23.85%,0.0015,,
4909,10.51,9.84%,0.0088,,
4910,18.79,16.09%,0.0074,,
4911,0.53,4.14%,0.0093,,
4912,5.28,28.43%,0.0028,,
4913,0.78,4.22%,0.0098,,
4914,24.22,19.18%,0.0069,,
4915,14.32,7.87%,0.0013,,
4916,6.35,9.10%,0.0087,,
4917,12.22,24.15%,0.0020,,
4918,21.28,19.41%,0.0003,,
4919,5.34,3.98%,0.0085,,
4920,21.08,27.54%,0.0029,,
4921,18.49,16.06%,0.0036,,
4922,23.49,32.76%,0.0052,,
4923,0.08,8.64%,0.0092,,
4924,8.72,8.98%,0.0036,,
4925,13.78,28.87%,0.0096,,
4926,14.99,19.18%,0.0052,,
4927,11.95,16.19%,0.0056,,
4928,4.86,9.84%,0.0092,,
4929,2.66,16.55%,0.0036,,
4930,6.04,22.88%,0.0094,,
4931,23.65,13.23%,0.0013,,
4932,18.67,7.63%,0.0057,,
4933,11.47,32.66%,0.0066,,
4934,4.42,20.24%,0.0099,,
4935,24.33,17.30%,0.0019,,
4936,12.96,7.18%,0.0028,,
4937,7.62,31.55%,0.0009,,
4938,0.89,39.36%,0.0055,,
4939,10.14,37.87%,0.0028,,
4940,13.55,7.32%,0.0084,,
4941,0.81,15.22%,0.0015,,
4942,4.47,1.30%,0.0073,,
4943,14.59,4.34%,0.0066,,
4944,3.11,31.84%,0.0077,,
4945,21.90,2.29%,0.0085,,
4946,13.10,32.48%,0.0023,,
4947,19.79,33.66%,0.0083,,
4948,8.69,18.67%,0.0087,,
4949,6.01,35.75%,0.0096,,
4950,12.83,39.20%,0.0092,,
4951,5.29,35.50%,0.0011,,
4952,19.37,28.60%,0.0071,,
4953,16.33,15.66%,0.0067,,
4954,12.01,36.25%,0.0050,,
4955,9.58,15.33%,0.0066,,
4956,6.17,21.45%,0.0007,,
4957,11.53,23.62%,0.0088,,
4958,20.18,19.32%,0.0020,,
4959,17.55,18.89%,0.0047,,
4960,19.21,27.79%,0.0061,,
4961,17.54,30.07%,0.0065,,
4962,15.50,22.34%,0.0095,,
4963,4.79,25.51%,0.0079,,
4964,15.82,22.04%,0.0058,,
4965,15.75,38.35%,0.0043,,
4966,14.58,19.57%,0.0060,,
4967,2.10,37.83%,0.0085,,
4968,8.73,21.43%,0.0093,,
4969,23.46,32.10%,0.0047,,
4970,0.42,31.07%,0.0075,,
4971,1.93,24.71%,0.0033,,
4972,20.24,17.22%,0.0084,,
4973,0.72,33.57%,0.0009,,
4974,9.23,22.05%,0.0028,,
4975,3.14,33.80%,0.0086,,
4976,8.99,0.96%,0.0006,,
4977,18.74,21.62%,0.0029,,
4978,24.22,31.75%,0.0013,,
4979,4.95,5.50%,0.0089,,
4980,5.23,25.31%,0.0079,,
4981,0.18,1.11%,0.0002,,
4982,22.15,26.75%,0.0021,,
4983,10.41,23.33%,0.0027,,
4984,5.90,19.82%,0.0015,,
4985,11.33,14.94%,0.0046,,
4986,24.39,10.92%,0.0012,,
4987,3.94,7.00%,0.0049,,
4988,15.02,39.81%,0.0032,,
4989,20.76,39.63%,0.0070,,
4990,15.54,12.95%,0.0078,,
4991,10.56,8.83%,0.0088,,
4992,3.13,9.08%,0.0079,,
4993,5.23,25.29%,0.0039,,
4994,3.16,38.10%,0.0085,,
4995,15.11,27.75%,0.0091,,
4996,1.34,31.86%,0.0060,,
4997,13.30,15.73%,0.0099,,
4998,15.69,32.75%,0.0050,,
4999,13.41,38.92%,0.0086,,
5000,0.36,34.12%,0.0093,,
5001,24.98,17.50%,0.0009,,
5002,18.41,14.58%,0.0003,,
5003,9.58,22.90%,0.0025,,
5004,16.77,24.03%,0.0063,,
5005,12.29,21.52%,0.0008,,
5006,16.19,10.92%,0.0050,,
5007,13.71,1.84%,0.0045,,
5008,14.96,1.38%,0.0021,,
5009,6.64,26.70%,0.0083,,
5010,24.26,30.53%,0.0024,,
5011,6.31,16.61%,0.0046,,
5012,11.39,20.53%,0.0020,,
5013,8.73,7.56%,0.0092,,
5014,4.44,37.67%,0.0010,,
5015,22.99,38.73%,0.0062,,
5016,11.79,1.70%,0.0044,,
5017,24.11,27.29%,0.0082,,
5018,7.28,29.21%,0.0001,,
5019,9.14,5.90%,0.0070,,
5020,16.48,19.87%,0.0059,,
5021,5.97,38.67%,0.0010,,
5022,12.35,7.14%,0.0062,,
5023,22.07,2.42%,0.0099,,
5024,12.76,33.53%,0.0055,,
5025,18.78,7.96%,0.0077,,
5026,11.82,2.69%,0.0028,,
5027,23.27,16.00%,0.0038,,
5028,16.89,10.02%,0.0062,,
5029,24.87,5.27%,0.0099,,
5030,3.06,28.00%,0.0073,,
5031,6.21,25.42%,0.0099,,
5032,2.20,19.34%,0.0074,,
5033,21.67,22.07%,0.0061,,
5034,17.49,39.38%,0.0021,,
5035,20.79,12.34%,0.0061,,
5036,0.20,22.36%,0.0043,,
5037,1.29,19.31%,0.0012,,
5038,20.92,35.89%,0.0026,,
5039,21.14,30.91%,0.0081,,
5040,21.87,37.42%,0.0022,,
5041,11.21,0.14%,0.0087,,
5042,16.25,31.56%,0.0019,,
5043,21.67,18.69%,0.0077,,
5044,14.72,5.25%,0.0093,,
5045,7.36,7.12%,0.0079,,
5046,3.13,28.20%,0.0039,,
5047,6.44,24.41%,0.0031,,
5048,10.48,19.89%,0.0017,,
5049,20.16,18.58%,0.0063,,
5050,23.20,17.32%,0.0075,,
5051,0.05,4.05%,0.0042,,
5052,0.35,24.65%,0.0056,,
5053,7.87,0.46%,0.0068,,
5054,20.84,30.19%,0.0029,,
5055,18.72,8.71%,0.0014,,
5056,11.48,16.65%,0.0049,,
5057,15.49,22.75%,0.0041,,
5058,16.19,10.04%,0.0020,,
5059,9.86,38.52%,0.0091,,
5060,8.45,19.45%,0.0083,,
5061,9.18,7.05%,0.0050,,
5062,3.79,26.58%,0.0038,,
5063,3.99,17.83%,0.0079,,
5064,24.68,9.09%,0.0096,,
5065,16.99,16.94%,0.0030,,
5066,18.30,11.68%,0.0044,,
5067,4.67,12.56%,0.0083,,
5068,23.37,13.85%,0.0015,,
5069,14.90,13.31%,0.0045,,
5070,6.48,8.48%,0.0083,,
5071,11.86,25.16%,0.0093,,
5072,20.97,26.69%,0.0050,,
5073,3.94,0.48%,0.0015,,
5074,23.61,16.85%,0.0069,,
5075,12.02,34.30%,0.0054,,
5076,19.13,12.54%,0.0061,,
5077,20.88,21.41%,0.0007,,
5078,23.93,14.00%,0.0027,,
5079,15.53,20.84%,0.0073,,
5080,13.79,7.84%,0.0074,,
5081,9.39,32.61%,0.0011,,
5082,24.78,17.77%,0.0035,,
5083,20.38,33.67%,0.0075,,
5084,8.67,33.10%,0.0050,,
5085,20.13,23.19%,0.0060,,
5086,3.32,8.49%,0.0061,,
5087,0.98,20.14%,0.0060,,
5088,12.46,34.74%,0.0065,,
5089,0.78,10.30%,0.0019,,
5090,8.50,2.80%,0.0037,,
5091,12.10,6.47%,0.0011,,
5092,12.05,32.51%,0.0017,,
5093,1.50,37.91%,0.0049,,
5094,4.38,37.08%,0.0043,,
5095,4.84,29.83%,0.0018,,
5096,9.80,1.75%,0.0098,,
5097,19.90,14.93%,0.0079,,
5098,8.24,15.59%,0.0073,,
5099,11.73,9.08%,0.0064,,
5100,7.43,11.89%,0.0051,,
5101,1.80,39.93%,0.0053,,
5102,0.23,18.68%,0.0066,,
5103,9.87,15.67%,0.0083,,
5104,4.24,37.11%,0.0065,,
5105,22.24,18.63%,0.0053,,
5106,24.00,25.52%,0.0023,,
5107,11.78,11.83%,0.0013,,
5108,0.56,18.66%,0.0066,,
5109,3.05,38.21%,0.0028,,
5110,1.05,32.11%,0.0040,,
5111,19.64,23.42%,0.0075,,
5112,5.84,19.62%,0.0092,,
5113,11.69,27.96%,0.0087,,
5114,20.02,34.73%,0.0005,,
5115,15.76,17.10%,0.0036,,
5116,11.22,21.94%,0.0078,,
5117,8.02,13.60%,0.0052,,
5118,3.15,37.75%,0.0016,,
5119,21.27,21.14%,0.0023,,
5120,23.08,3.01%,0.0024,,
5121,17.10,31.69%,0.0098,,
5122,16.95,17.57%,0.0092,,
5123,19.31,2.50%,0.0024,,
5124,5.65,38.62%,0.0065,,
5125,3.61,8.02%,0.0045,,
5126,2.17,15.32%,0.0069,,
5127,24.85,20.47%,0.0011,,
5128,4.43,29.02%,0.0077,,
5129,4.65,31.10%,0.0080,,
5130,18.73,16.78%,0.0054,,
5131,17.42,37.01%,0.0022,,
5132,23.55,24.94%,0.0002,,
5133,22.24,11.79%,0.0022,,
5134,17.32,30.36%,0.0016,,
5135,9.45,3.80%,0.0035,,
5136,3.37,13.74%,0.0007,,
5137,3.64,3.09%,0.0067,,
5138,5.93,11.81%,0.0088,,
5139,20.83,17.95%,0.0095,,
5140,7.93,16.88%,0.0092,,
5141,14.55,36.89%,0.0022,,
5142,11.14,35.91%,0.0088,,
5143,4.97,18.50%,0.0040,,
5144,19.19,6.04%,0.0034,,
5145,3.15,6.56%,0.0096,,
5146,24.43,21.47%,0.0014,,
5147,13.99,35.76%,0.0056,,
5148,7.99,14.74%,0.0018,,
5149,20.86,24.15%,0.0049,,
5150,10.39,3.78%,0.0005,,
5151,2.77,31.84%,0.0100,,
5152,11.38,17.27%,0.0026,,
5153,22.79,12.62%,0.0014,,
5154,22.15,24.78%,0.0079,,
5155,21.85,5.00%,0.0089,,
5156,0.54,6.17%,0.0092,,
5157,19.33,8.31%,0.0040,,
5158,13.68,9.10%,0.0097,,
5159,20.48,16.82%,0.0022,,
5160,17.83,26.16%,0.0032,,
5161,12.84,24.07%,0.0048,,
5162,21.17,27.29%,0.0037,,
5163,23.74,1.38%,0.0024,,
5164,18.90,0.55%,0.0025,,
5165,14.86,26.57%,0.0002,,
5166,4.56,37.58%,0.0034,,
5167,10.82,19.09%,0.0073,,
5168,5.12,13.09%,0.0094,,
5169,11.97,30.62%,0.0068,,
5170,10.95,0.38%,0.0018,,
5171,11.10,2.83%,0.0085,,
5172,0.43,29.10%,0.0020,,
5173,10.43,4.26%,0.0046,,
5174,21.04,39.67%,0.0087,,
5175,18.03,38.58%,0.0086,,
5176,0.08,36.76%,0.0045,,
5177,20.91,2.14%,0.0016,,
5178,16.63,2.96%,0.0091,,
5179,1.54,9.56%,0.0020,,
5180,5.23,0.25%,0.0053,,
5181,11.08,1.30%,0.0011,,
5182,8.44,37.77%,0.0069,,
5183,15.72,33.24%,0.0048,,
5184,4.63,15.41%,0.0060,,
5185,0.81,29.67%,0.0032,,
5186,18.82,8.57%,0.0073,,
5187,19.79,16.33%,0.0003,,
5188,21.72,14.04%,0.0066,,
5189,16.25,28.53%,0.0023,,
5190,8.64,29.00%,0.0011,,
5191,10.87,29.53%,0.0084,,
5192,16.24,28.16%,0.0049,,
5193,9.33,32.14%,0.0031,,
5194,15.47,24.68%,0.0023,,
5195,22.88,1.71%,0.0014,,
5196,13.79,0.34%,0.0037,,
5197,9.48,18.50%,0.0055,,
5198,15.28,8.23%,0.0093,,
5199,3.06,36.64%,0.0000,,
5200,4.37,23.65%,0.0033,,
5201,10.67,17.61%,0.0088,,
5202,19.24,22.83%,0.0067,,
5203,9.02,35.50%,0.0013,,
5204,14.41,26.99%,0.0057,,
5205,16.16,36.45%,0.0007,,
5206,5.33,21.39%,0.0013,,
5207,8.47,8.02%,0.0022,,
5208,17.07,2.46%,0.0090,,
5209,18.70,29.61%,0.0068,,
5210,3.78,35.58%,0.0000,,
5211,20.24,15.20%,0.0075,,
5212,22.21,38.70%,0.0002,,
5213,9.31,24.69%,0.0045,,
5214,8.86,25.44%,0.0003,,
5215,1.96,24.46%,0.0038,,
5216,4.79,36.29%,0.0005,,
5217,15.71,34.57%,0.0033,,
5218,1.58,35.24%,0.0030,,
5219,8.63,15.38%,0.0046,,
5220,6.39,26.63%,0.0064,,
5221,3.05,32.31%,0.0014,,
5222,3.44,24.60%,0.0039,,
5223,6.53,19.49%,0.0058,,
5224,4.96,30.55%,0.0034,,
5225,6.21,23.89%,0.0087,,
5226,1.58,24.11%,0.0031,,
5227,11.15,17.48%,0.0061,,
5228,7.64,15.25%,0.0073,,
5229,24.61,9.29%,0.0097,,
5230,4.92,11.08%,0.0050,,
5231,8.30,9.57%,0.0074,,
5232,10.46,8.41%,0.0027,,
5233,15.25,7.95%,0.0042,,
5234,1.66,3.31%,0.0000,,
5235,7.45,4.07%,0.0054,,
5236,10.56,19.11%,0.0028,,
5237,14.94,6.00%,0.0031,,
5238,21.64,6.70%,0.0037,,
5239,7.59,27.17%,0.0078,,
5240,10.85,12.12%,0.0011,,
5241,9.09,4.81%,0.0051,,
5242,0.68,34.77%,0.0009,,
5243,6.83,9.68%,0.0019,,
5244,2.14,14.86%,0.0003,,
5245,18.34,1.06%,0.0027,,
5246,11.33,4.13%,0.0081,,
5247,21.60,29.31%,0.0022,,
5248,3.97,5.33%,0.0001,,
5249,7.53,8.29%,0.0025,,
5250,13.94,35.19%,0.0074,,
5251,7.71,10.09%,0.0027,,
5252,13.97,24.36%,0.0008,,
5253,10.67,8.85%,0.0075,,
5254,21.57,25.26%,0.0072,,
5255,3.23,23.84%,0.0057,,
5256,20.79,36.15%,0.0040,,
5257,23.44,16.16%,0.0068,,
5258,2.75,24.81%,0.0004,,
5259,14.98,0.45%,0.0070,,
5260,23.56,37.44%,0.0087,,
5261,18.50,30.73%,0.0002,,
5262,20.06,22.80%,0.0062,,
5263,7.24,6.86%,0.0034,,
5264,7.78,24.60%,0.0013,,
5265,22.09,12.70%,0.0065,,
5266,21.02,12.44%,0.0021,,
5267,24.08,13.97%,0.0026,,
5268,22.12,20.00%,0.0034,,
5269,21.12,11.28%,0.0047,,
5270,0.68,22.96%,0.0044,,
5271,13.85,10.12%,0.0075,,
5272,9.02,8.17%,0.0014,,
5273,19.75,0.99%,0.0081,,
5274,3.88,32.74%,0.0056,,
5275,0.26,4.01%,0.0010,,
5276,18.99,6.92%,0.0018,,
5277,15.50,38.04%,0.0030,,
5278,14.17,2.46%,0.0003,,
5279,6.07,37.50%,0.0077,,
5280,22.08,14.67%,0.0003,,
5281,8.40,16.61%,0.0089,,
5282,14.60,34.01%,0.0001,,
5283,1.48,24.58%,0.0047,,
5284,5.49,35.32%,0.0008,,
5285,17.30,16.63%,0.0043,,
5286,1.17,10.32%,0.0093,,
5287,5.29,9.54%,0.0007,,
5288,13.81,6.87%,0.0001,,
5289,14.77,18.33%,0.0074,,
5290,2.43,6.28%,0.0084,,
5291,14.62,22.27%,0.0030,,
5292,19.87,2.31%,0.0018,,
5293,16.09,11.04%,0.0087,,
5294,7.03,4.79%,0.0010,,
5295,2.62,6.89%,0.0061,,
5296,6.35,9.99%,0.0008,,
5297,5.28,14.59%,0.0060,,
5298,19.73,8.25%,0.0051,,
5299,17.64,39.16%,0.0091,,
5300,7.39,5.81%,0.0001,,
5301,24.79,15.88%,0.0046,,
5302,4.35,30.81%,0.0046,,
5303,15.14,4.08%,0.0041,,
5304,11.36,9.73%,0.0008,,
5305,14.14,10.52%,0.0035,,
5306,9.62,13.28%,0.0023,,
5307,18.07,1.52%,0.0047,,
5308,17.40,25.76%,0.0091,,
5309,12.42,12.69%,0.0041,,
5310,9.61,37.49%,0.0023,,
5311,9.11,20.89%,0.0065,,
5312,7.97,39.04%,0.0021,,
5313,17.94,31.31%,0.0053,,
5314,2.40,7.61%,0.0009,,
5315,7.93,15.48%,0.0033,,
5316,2.21,9.61%,0.0021,,
5317,14.80,9.86%,0.0092,,
5318,16.79,9.21%,0.0000,,
5319,16.88,9.48%,0.0053,,
5320,10.62,34.12%,0.0051,,
5321,7.22,13.93%,0.0084,,
5322,13.45,5.54%,0.0081,,
5323,18.01,28.37%,0.0094,,
5324,9.40,9.61%,0.0094,,
5325,19.06,30.22%,0.0032,,
5326,17.55,39.76%,0.0095,,
5327,5.44,2.53%,0.0076,,
5328,1.23,20.62%,0.0095,,
5329,7.58,29.13%,0.0046,,
5330,2.18,18.20%,0.0024,,
5331,14.52,1.09%,0.0098,,
5332,22.15,11.21%,0.0016,,
5333,18.03,22.07%,0.0047,,
5334,7.97,19.05%,0.0062,,
5335,9.64,30.79%,0.0093,,
5336,7.29,18.48%,0.0058,,
5337,8.83,20.07%,0.0041,,
5338,20.86,19.98%,0.0059,,
5339,24.08,5.26%,0.0013,,
5340,17.21,8.59%,0.0079,,
5341,9.12,17.74%,0.0071,,
5342,19.19,13.98%,0.0018,,
5343,20.54,15.26%,0.0052,,
5344,5.39,35.90%,0.0079,,
5345,4.24,5.03%,0.0075,,
5346,22.36,1.59%,0.0041,,
5347,0.58,3.49%,0.0054,,
5348,17.23,28.24%,0.0011,,
5349,2.05,0.10%,0.0055,,
5350,4.82,2.39%,0.0063,,
5351,21.30,4.50%,0.0019,,
5352,4.52,12.37%,0.0092,,
5353,22.50,35.43%,0.0086,,
5354,4.64,33.40%,0.0010,,
5355,9.87,30.09%,0.0013,,
5356,20.54,18.64%,0.0077,,
5357,5.09,2.34%,0.0001,,
5358,17.90,38.64%,0.0088,,
5359,16.88,13.78%,0.0062,,
5360,8.92,13.01%,0.0049,,
5361,4.10,2.16%,0.0064,,
5362,12.86,12.25%,0.0084,,
5363,13.50,6.70%,0.0018,,
5364,12.48,32.95%,0.0025,,
5365,18.05,4.10%,0.0066,,
5366,6.04,3.29%,0.0033,,
5367,12.87,15.95%,0.0003,,
5368,2.09,4.41%,0.0026,,
5369,22.89,18.78%,0.0078,,
5370,16.28,2.03%,0.0024,,
5371,14.00,33.99%,0.0040,,
5372,4.97,17.36%,0.0022,,
5373,10.53,7.89%,0.0007,,
5374,1.26,6.02%,0.0049,,
5375,11.11,0.14%,0.0032,,
5376,4.19,3.79%,0.0037,,
5377,1.89,29.18%,0.0075,,
5378,18.77,11.29%,0.0012,,
5379,9.05,16.57%,0.0078,,
5380,19.47,20.01%,0.0020,,
5381,21.37,16.35%,0.0031,,
5382,6.32,39.98%,0.0055,,
5383,13.94,2.85%,0.0036,,
5384,22.39,23.52%,0.0078,,
5385,23.56,9.17%,0.0038,,
5386,21.24,24.15%,0.0041,,
5387,2.15,4.16%,0.0059,,
5388,22.48,35.33%,0.0016,,
5389,14.59,33.98%,0.0083,,
5390,4.38,20.05%,0.0033,,
5391,23.65,23.74%,0.0066,,
5392,3.48,36.97%,0.0019,,
5393,12.62,11.72%,0.0090,,
5394,9.18,4.39%,0.0074,,
5395,24.53,7.27%,0.0084,,
5396,24.46,4.82%,0.0004,,
5397,2.08,5.26%,0.0047,,
5398,6.42,20.07%,0.0057,,
5399,21.27,35.75%,0.0081,,
5400,11.50,23.60%,0.0087,,
5401,19.37,22.10%,0.0024,,
5402,6.00,14.43%,0.0018,,
5403,4.55,15.95%,0.0096,,
5404,9.47,4.71%,0.0049,,
5405,23.11,17.78%,0.0085,,
5406,21.03,1.02%,0.0037,,
5407,24.53,4.24%,0.0032,,
5408,9.11,5.30%,0.0027,,
5409,16.95,24.40%,0.0006,,
5410,16.54,33.13%,0.0094,,
5411,0.94,35.83%,0.0048,,
5412,2.29,6.03%,0.0046,,
5413,3.58,36.18%,0.0071,,
5414,8.25,12.18%,0.0043,,
5415,0.72,15.46%,0.0056,,
5416,10.28,12.67%,0.0068,,
5417,17.33,37.44%,0.0017,,
5418,2.35,5.02%,0.0013,,
5419,11.83,10.51%,0.0088,,
5420,23.03,4.51%,0.0001,,
5421,13.45,31.75%,0.0058,,
5422,20.84,27.57%,0.0084,,
5423,11.10,0.09%,0.0098,,
5424,8.33,24.35%,0.0096,,
5425,0.19,24.80%,0.0057,,
5426,13.06,16.27%,0.0008,,
5427,14.91,20.28%,0.0004,,
5428,22.30,16.01%,0.0029,,
5429,21.50,28.88%,0.0095,,
5430,9.34,28.97%,0.0099,,
5431,0.15,31.33%,0.0041,,
5432,7.58,8.82%,0.0075,,
5433,10.87,31.86%,0.0082,,
5434,17.23,37.09%,0.0095,,
5435,6.03,29.98%,0.0071,,
5436,16.08,20.70%,0.0092,,
5437,1.28,11.39%,0.0012,,
5438,14.67,25.73%,0.0067,,
5439,18.24,12.26%,0.0096,,
5440,24.00,35.08%,0.0000,,
5441,2.71,35.37%,0.0005,,
5442,11.86,39.91%,0.0054,,
5443,13.42,33.55%,0.0038,,
5444,8.78,17.69%,0.0079,,
5445,2.05,3.45%,0.0008,,
5446,23.76,20.71%,0.0062,,
5447,20.96,17.59%,0.0028,,
5448,3.86,7.42%,0.0084,,
5449,13.33,37.79%,0.0033,,
5450,23.22,13.94%,0.0100,,
5451,9.92,4.66%,0.0041,,
5452,17.40,19.80%,0.0031,,
5453,4.89,9.46%,0.0065,,
5454,7.30,29.24%,0.0059,,
5455,12.28,37.64%,0.0087,,
5456,13.44,18.65%,0.0019,,
5457,3.17,5.66%,0.0094,,
5458,21.47,5.12%,0.0095,,
5459,6.85,8.93%,0.0025,,
5460,0.67,28.91%,0.0017,,
5461,21.59,14.14%,0.0036,,
5462,22.37,15.97%,0.0010,,
5463,9.27,38.94%,0.0058,,
5464,22.91,27.32%,0.0020,,
5465,10.78,23.02%,0.0015,,
5466,13.78,30.50%,0.0015,,
5467,3.93,30.09%,0.0089,,
5468,18.65,22.70%,0.0069,,
5469,8.23,28.91%,0.0097,,
5470,20.17,16.95%,0.0067,,
5471,6.72,28.40%,0.0022,,
5472,19.56,11.52%,0.0061,,
5473,8.88,26.47%,0.0022,,
5474,20.13,12.91%,0.0025,,
5475,19.46,15.20%,0.0084,,
5476,24.82,7.79%,0.0081,,
5477,20.77,26.54%,0.0045,,
5478,18.30,30.08%,0.0023,,
5479,8.02,22.11%,0.0009,,
5480,2.10,34.97%,0.0091,,
5481,1.08,24.02%,0.0036,,
5482,18.59,5.02%,0.0092,,
5483,18.36,0.39%,0.0047,,
5484,10.73,20.24%,0.0032,,
5485,15.05,35.73%,0.0067,,
5486,8.20,18.79%,0.0010,,
5487,9.89,20.00%,0.0051,,
5488,4.83,24.55%,0.0079,,
5489,18.70,2.84%,0.0043,,
5490,8.97,28.84%,0.0096,,
5491,5.65,38.18%,0.0065,,
5492,16.80,35.33%,0.0092,,
5493,18.76,31.86%,0.0068,,
5494,12.82,36.55%,0.0087,,
5495,10.93,21.25%,0.0000,,
5496,14.85,23.75%,0.0003,,
5497,0.15,24.04%,0.0005,,
5498,23.01,18.66%,0.0058,,
5499,18.94,5.48%,0.0065,,
5500,5.82,19.72%,0.0012,,
5501,12.78,22.53%,0.0009,,
5502,5.81,3.12%,0.0004,,
5503,8.54,32.26%,0.0061,,
5504,12.81,2.49%,0.0016,,
5505,14.67,30.51%,0.0092,,
5506,8.99,33.98%,0.0049,,
5507,12.00,23.59%,0.0091,,
5508,6.77,34.89%,0.0083,,
5509,14.19,19.62%,0.0000,,
5510,7.45,17.28%,0.0021,,
5511,8.02,39.80%,0.0049,,
5512,10.33,35.12%,0.0017,,
5513,4.45,25.85%,0.0085,,
5514,13.11,36.38%,0.0084,,
5515,1.14,29.85%,0.0010,,
5516,11.03,25.61%,0.0019,,
5517,2.87,9.35%,0.0018,,
5518,5.37,3.59%,0.0033,,
5519,0.18,28.79%,0.0046,,
5520,2.23,25.46%,0.0057,,
5521,2.02,28.18%,0.0034,,
5522,7.32,6.38%,0.0044,,
5523,0.56,31.93%,0.0079,,
5524,14.67,27.25%,0.0097,,
5525,13.99,3.53%,0.0039,,
5526,9.89,12.39%,0.0047,,
